date,predicted_demand,lower_bound,upper_bound
2017-12-01,230.69176184624664,-3127.5665630839935,3583.907288201515
2017-12-02,261.77050256236436,-2973.3637975667098,3604.6878118935783
2017-12-03,291.37592037839323,-3422.136758925042,3738.279464649459
2017-12-04,501.15116800507644,-2956.0735709244354,4085.597779891726
2017-12-05,585.093745484067,-2863.3930720833455,3811.7826491638098
2017-12-06,695.4387909451485,-2696.5406575347474,4128.606516636753
2017-12-07,708.5976580911121,-2746.5830981762974,4235.926415338487
2017-12-08,638.2539465150537,-2831.5927760323666,4066.4587897234055
2017-12-09,680.4354733804639,-2764.7120504932564,4130.7051267497045
2017-12-10,761.7913593651177,-2758.1111777664087,4080.429444186416
2017-12-11,1099.4943930282511,-2232.3211351746368,4541.119111930618
2017-12-12,1216.314465056727,-2277.8358187540557,4527.190762214305
2017-12-13,1347.1083893270652,-2140.708985203654,4588.276243968191
2017-12-14,1355.8628340633832,-1812.7646744562733,5049.338790023437
2017-12-15,1275.2480209103323,-2176.0363962930805,4860.203987713101
2017-12-16,1333.4237207481813,-2110.644794347442,4774.617526530558
2017-12-17,1382.0583939700698,-2074.4204027870287,5027.068358924503
2017-12-18,1710.439475062618,-1724.4574042431689,5095.771878785583
2017-12-19,1771.6668862321515,-1619.4808071079117,5187.735614757144
2017-12-20,1972.2471071039206,-1646.1535833215685,5188.2146363059055
2017-12-21,2165.1774763821136,-1276.6025681906171,5434.868763314468
2017-12-22,2311.550170414151,-959.0583212600254,5596.358690048654
2017-12-23,2558.8675642250128,-953.135668543327,5914.9391781944005
2017-12-24,2626.894651554531,-661.2145234938889,6072.879618743024
2017-12-25,2816.2335848709386,-374.3762457245448,6361.477411145496
2017-12-26,2766.734803221297,-635.6725222766509,6151.233781135795
2017-12-27,2822.5777481476525,-599.960092608795,6441.515459553984
2017-12-28,2857.8599828360484,-456.2198750883802,6293.807837055966
2017-12-29,2757.00440977485,-647.8134926862324,6252.746686124295
2017-12-30,2682.3073889122597,-825.8986100340826,5972.671012714562
2017-12-31,2396.103748003047,-1026.994517777401,5908.433480144107
2018-01-01,2407.6890427295402,-1068.800088113437,5793.454098754546
2018-01-02,2419.2890553201364,-937.8930645631298,5615.259813601976
2018-01-03,2737.0720792923303,-1010.2957617972836,6267.5654046915215
2018-01-04,3034.932247226552,-419.8942574139705,6423.0334881234285
2018-01-05,3003.8770396182153,-671.1543973925421,6369.19468027586
2018-01-06,2796.5732626876425,-521.9912051086346,6022.1292294131335
2018-01-07,2232.9234708093018,-1603.9160558879075,5654.536405513007
2018-01-08,2145.114508984634,-1177.7943011469085,5379.399918746119
2018-01-09,1869.8947378889409,-1464.1195389676984,5232.6506600982075
2018-01-10,2064.22151992119,-1325.8530493488538,5306.6659932293005
2018-01-11,2190.290487795576,-1346.2089094009864,5540.177477504316
2018-01-12,1945.221366704384,-1426.581375746447,5273.773436801584
2018-01-13,1629.605495071411,-1755.3720169528551,5077.381040340657
2018-01-14,1120.0344363030497,-2243.006081666896,4376.128830434424
2018-01-15,1310.9215508976008,-2043.3773520659188,4637.613909555295
2018-01-16,1285.7123271629805,-2378.337012274743,4570.294709793242
2018-01-17,1660.8761789472815,-1583.2767268450418,5129.131660161307
2018-01-18,1840.1726829703073,-1556.309823532814,5439.973996143724
2018-01-19,1616.4954177796826,-1727.162979774227,5102.839454148907
2018-01-20,1438.1049833205839,-1695.5021381785623,4849.973957658063
2018-01-21,1121.9601975633277,-2454.0520804809726,4420.21452661546
2018-01-22,1497.6411871279608,-1753.5388070571528,4892.335733173482
2018-01-23,1392.5528828037754,-2286.5792734058873,4813.451935351851
2018-01-24,1533.7433501417129,-1947.1415191524632,4931.464874043605
2018-01-25,1459.7191349848329,-1933.9329094620498,5036.992619884567
2018-01-26,1143.6009688189495,-2363.8399277976987,4507.061624835143
2018-01-27,1109.4796298155459,-2378.4215072982374,4338.4941953829775
2018-01-28,985.8951253160599,-2559.267841182933,4248.530907433468
2018-01-29,1498.3567124437652,-2098.141764133109,5101.963211749383
2018-01-30,1315.285804073945,-2039.5255232343131,4791.178411161727
2018-01-31,1405.394728994431,-1907.2824239185443,5068.446147989543
2018-02-01,1455.089080662496,-1903.1994562462676,4930.371364671948
2018-02-02,1463.806745331273,-1851.0485400428313,4721.531230217095
2018-02-03,1819.7009830113766,-1406.0366613649578,5334.667696588032
2018-02-04,1861.9601560735111,-1452.5080437769861,5224.596595080505
2018-02-05,2291.269426502274,-1064.5019269035681,5645.360690904525
2018-02-06,1783.092175802945,-1431.1107341075863,5295.395778013337
2018-02-07,1639.8424951254672,-1773.5230230341322,4947.260982080999
2018-02-08,1646.3665258212447,-1610.8467864214351,5132.093435483387
2018-02-09,1728.8371027485116,-1556.677219845907,5115.514072992353
2018-02-10,2142.6268446887834,-1492.0812430774731,5392.808645164169
2018-02-11,2092.459305574824,-1162.6399713082078,5481.684273878465
2018-02-12,2440.081125118338,-1193.586299265054,6076.8375187992315
2018-02-13,1901.7172521772864,-1493.104627459631,5438.311384795713
2018-02-14,1931.4720227660762,-1409.3686950433616,5373.09438056219
2018-02-15,1977.9915165057585,-1363.625437570408,5438.423660504302
2018-02-16,1788.245194213463,-1590.5432706300971,4982.45813938367
2018-02-17,1912.7348436749226,-1424.8706447420018,5259.060645032132
2018-02-18,2284.2987146929827,-800.6925577552303,5424.923766364953
2018-02-19,2622.497422345284,-1072.03116501273,6043.555350014381
2018-02-20,2224.445231779562,-1113.0826809522732,5479.772643579945
2018-02-21,2452.684792958242,-987.7622724664283,5778.724088063938
2018-02-22,2603.493886606125,-918.9226267952364,5847.234270417182
2018-02-23,2280.958608409206,-1172.531503450616,5548.588834202077
2018-02-24,1948.4987735783893,-1418.0222334002983,5330.102685282427
2018-02-25,1223.6362431015061,-2248.622870583718,4600.433311623371
2018-02-26,1570.1549368066915,-1921.241202479429,4719.701131124855
2018-02-27,1452.8446818931734,-2081.449488394488,4726.297817752548
2018-02-28,2055.002183361745,-1309.7761922489299,5572.597472550896
2018-03-01,2028.2977189234887,-1659.5728321332633,5392.898467082364
2018-03-02,2228.8260671982007,-1272.4373641333502,5582.366082460206
2018-03-03,2192.5288278241565,-866.5098996822428,5609.822826659913
2018-03-04,2038.2137252230184,-1411.6984113608241,5550.486181096397
2018-03-05,3162.144316616481,-129.93504335403387,6883.494741013259
2018-03-06,3554.1107641188128,114.3732639301012,6950.472336654054
2018-03-07,4222.369157047355,595.7510674943176,7558.001753634017
2018-03-08,4231.488234219549,707.7643149557405,7608.099463311415
2018-03-09,3559.630529747525,191.8040231497883,6811.7291366626005
2018-03-10,3322.8321513172914,-59.6780397578346,7024.608546050688
2018-03-11,3268.409629756498,-293.93823615176984,6600.615653356469
2018-03-12,4665.924069100451,1275.1359329808881,8010.108642195148
2018-03-13,5128.170061255847,1847.6956656922196,8676.477723307984
2018-03-14,5683.393540580323,2033.971267988786,8996.210375442668
2018-03-15,5480.488509880717,2107.701114835449,8998.394509025831
2018-03-16,4623.341220564962,1228.5838990693187,7966.888962602759
2018-03-17,4234.194567668204,813.5939373352219,7688.418115063341
2018-03-18,3851.83389170187,468.95540701208654,7303.7320581197355
2018-03-19,4752.241765847849,1336.6542599144234,8016.2354228276445
2018-03-20,4623.448213253883,1381.496772799334,7962.135627665419
2018-03-21,4963.792086444661,1630.1627656680632,8513.011307817722
2018-03-22,5129.359620215365,1344.8458893437316,8618.93107860998
2018-03-23,5084.755986592951,1775.9057913329216,8741.473480420898
2018-03-24,5537.748833323086,2277.3617484848046,8995.987312423664
2018-03-25,5538.368497197291,2108.1724261013583,9149.163392727596
2018-03-26,6326.965552690161,3114.7946025473952,9846.020793715137
2018-03-27,5714.605462025069,2431.488851549703,9382.005443487753
2018-03-28,5613.471270884123,2178.6690532547295,9137.988067801682
2018-03-29,5424.172980661079,1861.1023726246503,8782.529114552588
2018-03-30,4919.520049215267,1185.3644325576565,8557.133702791318
2018-03-31,4667.283855519552,1123.6370348943178,8115.807454585838
2018-04-01,3795.9507160084345,258.8736810721047,7157.6523097867785
2018-04-02,4056.9262187932654,673.3059521002082,7469.30968258868
2018-04-03,3559.2585540696787,30.719293354448936,6996.153955984248
2018-04-04,4336.586214981988,966.7048292962305,7945.856913411407
2018-04-05,5307.057797952728,2052.229355351035,8959.730679015844
2018-04-06,5636.5102975053005,2483.19943477505,9270.622542931262
2018-04-07,5613.271898522406,1948.9407875971863,9245.676130520627
2018-04-08,4463.6756039031225,862.4029061191029,7891.642147749111
2018-04-09,4411.638798727864,1100.797158518118,8113.36510760092
2018-04-10,3716.7879295979765,335.2336875477151,7105.576778182772
2018-04-11,4466.512016975697,1018.1803381324148,8108.489640415548
2018-04-12,5335.773979291727,1823.8097491742678,8699.326737326248
2018-04-13,5419.779136197185,1916.9748854697882,8853.159565164868
2018-04-14,5250.525887421682,1783.6216764076883,8754.27265280387
2018-04-15,4289.773480514868,742.5701876680787,7642.104458245818
2018-04-16,4882.18986460463,1571.0832441481423,8200.460674698663
2018-04-17,4870.015271935968,1397.9938678907647,8124.701960823895
2018-04-18,6031.587783976533,2646.0082553652114,9426.780551650327
2018-04-19,6848.037870923081,3382.0489034458933,10349.623778125208
2018-04-20,6636.282357813334,3262.3762798400976,10140.794092463515
2018-04-21,6349.0128919831195,2892.8178844096706,9795.458537700177
2018-04-22,5551.455025423516,2061.01071337059,8771.682575137353
2018-04-23,6420.540694537542,2995.649852096485,9845.368261405147
2018-04-24,6272.951628885396,3096.438843111176,9619.665688955527
2018-04-25,6828.008467098817,3256.6225699570655,10318.978540670687
2018-04-26,6812.476427643188,3294.240795372469,10021.257906940122
2018-04-27,6031.592947850902,2415.3275334588316,9409.957987301794
2018-04-28,5743.090682752612,2546.4675645062616,9095.464400683291
2018-04-29,5263.180973849793,1858.964976825025,8650.823940932307
2018-04-30,6370.6674513412945,3015.3600465626796,9741.25454909513
2018-05-01,5971.564168351762,2576.12046407476,9502.050902925628
2018-05-02,6056.475450105145,2646.652834312795,9450.895653025716
2018-05-03,5788.291474958458,2433.4222723289063,9138.541730008614
2018-05-04,5280.6305367740315,1863.146972710395,8849.766966613499
2018-05-05,8478.585933972188,4855.647420004262,11936.788388415469
2018-05-06,5721.405213063615,2201.693961331277,9114.601349207134
2018-05-07,8518.897644710803,5092.0864554434,11908.926938726092
2018-05-08,6005.480823165475,2905.5359563047073,9398.332172593964
2018-05-09,5626.521144004728,2201.3613836150935,8984.38467906865
2018-05-10,5301.583102155551,1937.459070525292,8810.052102896998
2018-05-11,5175.552314054869,1700.2464680873156,8652.79105306521
2018-05-12,6097.1316940204815,2753.8248830389603,9771.47971315855
2018-05-13,6450.890159619449,3179.8701714228596,9854.071684608103
2018-05-14,7755.640050986076,4308.912181169744,10934.354369244014
2018-05-15,7016.723750976513,3684.256187893914,10347.847894826358
2018-05-16,7097.324506831135,3726.561386600223,10447.86222542326
2018-05-17,7392.608551548586,3913.852414147568,10678.786253904344
2018-05-18,7651.249465061845,4220.591320860593,11019.700305574775
2018-05-19,8488.323946567401,5198.039104965635,11881.235156073155
2018-05-20,8388.42909315684,4818.330315560731,11912.872837161303
2018-05-21,9406.779943843161,5982.0723095441335,12936.93349431063
2018-05-22,5951.940170244148,2457.787954933431,9430.213866411224
2018-05-23,9276.745823469557,5856.411872830849,12385.830996599965
2018-05-24,9770.095208110486,6293.099066845633,13197.207870986
2018-05-25,9551.120002598289,6076.961972208779,12672.941487721415
2018-05-26,9370.614886038964,5603.764360771685,13048.517305765381
2018-05-27,8258.832704433196,4994.968736172432,11739.76482587568
2018-05-28,8942.038443307858,5637.647064619927,12402.55040233356
2018-05-29,8618.799169943059,4993.191871348332,11930.381944929588
2018-05-30,9755.98355665303,6127.479513906649,13276.786959483732
2018-05-31,10594.238685941946,7184.834470731945,13928.898096214989
2018-06-01,10295.768294487332,6713.3234070688,14021.96162546077
2018-06-02,10015.404448558018,6434.4265990109525,13382.63475571482
2018-06-03,9194.890548529333,5776.866972534059,12289.49961276228
2018-06-04,10675.379607620878,7435.607923104989,14238.886724798878
2018-06-05,11045.221554577833,7402.136814658088,14399.318611661509
2018-06-06,7318.26126592393,3854.1581924447773,10792.400907542615
2018-06-07,12352.95497133678,8883.756699551986,15792.36731004107
2018-06-08,10918.319626574894,7569.187514402518,14329.805075327899
2018-06-09,9841.946645480315,6269.000987404384,13252.223604210918
2018-06-10,8890.889652524693,5450.962153514733,12254.133186210755
2018-06-11,10776.12502427153,7338.684974405433,14104.053649341073
2018-06-12,11442.896609394858,8197.989160145298,15005.008801210744
2018-06-14,12312.664528386826,8956.850205431905,15969.381171601754
2018-06-15,10463.50540864482,7215.441183196344,14046.280996808506
2018-06-16,9084.703061521035,5653.669019057462,12575.513623651754
2018-06-17,7686.594794303374,4204.060910943731,11044.121324500207
2018-06-18,8809.121263058436,5318.2379290451145,12081.638100788732
2018-06-19,8407.209118203913,5194.614395299284,11595.34664022636
2018-06-20,8871.703919940794,5305.048083481737,12190.619479961208
2018-06-21,8863.54934510339,5490.460159487162,12132.258264103966
2018-06-22,8365.375515487072,4929.416173286372,11702.766848699508
2018-06-23,8856.86329062202,5451.885393248654,12419.19798903339
