date,predicted_demand,lower_bound,upper_bound
2017-12-01,1286.6990023880014,-2233.241770830986,4759.816093493851
2017-12-02,1376.4773098150688,-1972.4525740108636,5069.098606254013
2017-12-03,1333.6364710419186,-2036.4707473440633,5052.701638444164
2017-12-04,1469.4557355416111,-2121.828874619934,5158.278323369814
2017-12-05,1290.9902495458855,-2192.5059477375803,4942.220228402079
2017-12-06,1404.6172356993034,-1965.6455475688936,5167.24221855241
2017-12-07,1353.9583788624047,-2235.462478079695,5133.726854407515
2017-12-08,1618.398814610957,-1919.050469427863,5111.15791897058
2017-12-09,1631.6216449803069,-1914.0533210392557,5172.020604043403
2017-12-10,1505.1968664842257,-2094.4029991310567,4882.727517167295
2017-12-11,1598.9396883129798,-1675.2655566474837,5389.407875913746
2017-12-12,1353.0694073271761,-2316.575747699479,5029.71332460035
2017-12-13,1375.1753119170503,-2008.535113703387,4417.544819752535
2017-12-14,1117.8576787986913,-2204.730265814465,4747.065186104964
2017-12-15,1127.333338668912,-2413.791558349406,4349.771008656723
2017-12-16,888.5447857095103,-2667.8222598564125,4471.639640041989
2017-12-17,655.1160528970023,-2776.409527310408,4072.347108930454
2017-12-18,895.5346837176406,-2659.3543739194506,4232.250311808202
2017-12-19,976.9278057004121,-2394.369016731491,4634.713850309894
2017-12-20,1461.4633081686898,-1966.4290532496354,5002.640501240176
2017-12-21,1643.8473769610503,-1952.6007201351797,5211.751538826506
2017-12-22,2041.4391346994466,-1380.6616343089481,5475.8629498594055
2017-12-23,2049.67959646373,-1092.270893051853,5537.7237017442985
2017-12-24,1897.1796295332283,-1474.5379203534333,5352.646351068082
2017-12-25,2034.324521155057,-1565.156520125082,5544.559875818188
2017-12-26,1763.5463038187702,-1936.622308757704,5050.245984265383
2017-12-27,1749.218719543295,-1781.981549588527,5166.1807622513725
2017-12-28,1385.304597940149,-2414.0902094658272,4686.375142973276
2017-12-29,1403.360762865544,-2242.683403817297,4953.992252889582
2017-12-30,1248.4589323341206,-2340.612593697357,4485.002679552174
2017-12-31,1139.7479090925851,-2121.2353783961994,4654.354415495083
2018-01-01,1450.4615961207207,-1986.5723775459871,5335.525048698406
2018-01-02,1326.2496748886713,-2007.9922435015494,5077.7941861890595
2018-01-03,1457.169805851569,-1788.9858407426725,4930.87145853005
2018-01-04,1230.1460762854024,-2228.7919881583657,4588.98361772954
2018-01-05,1463.120363598805,-2146.7602231458554,4750.627315025878
2018-01-06,1533.863708659857,-2102.583042157684,4996.98614948814
2018-01-07,1605.61948934503,-1895.7127671204328,5063.999412029631
2018-01-08,2029.3879254867595,-1611.6052960853065,5461.622845478925
2018-01-09,1902.3777588609207,-1566.6328994800367,5373.713107638696
2018-01-10,2037.2481916472661,-1358.8378104989324,5493.723377211378
2018-01-11,1819.6869812816112,-1386.5517569720857,5008.809911951257
2018-01-12,2091.0733084158755,-1437.0491382186297,5671.5470096036315
2018-01-13,2102.148762371996,-1424.3230517403956,5434.014246328949
2018-01-14,1971.048217569019,-1572.8693240570235,5401.174162369115
2018-01-15,2106.8392465194934,-1487.15522984485,5503.349102240205
